family	case	revision	rep	latency_ns	ops_per_sec	mib_per_sec	p50_us	p90_us	p99_us	ttfb_p90_us	wall_seconds	cache_hits	cache_misses	cache_writes	read_errors	write_errors	timeouts	hit_avg_ms	write_avg_ms	request_errors	case_request_errors	error_detail	ops_expected	ops_success	statuses
criterion	decode_read_response_bytes/1024	after	1	3.8562271568118787	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
criterion	decode_read_response_bytes/1024	after	2	3.9913701814290805	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
criterion	decode_read_response_bytes/1024	after	3	3.8956133147082306	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
criterion	decode_read_response_bytes/64	before	1	3.9063108842184633	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
criterion	decode_read_response_bytes/64	before	2	3.9143430980771	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
criterion	decode_read_response_bytes/64	before	3	3.8887707413035084	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
criterion	decode_read_response_bytes/64	after	1	3.8603049697497243	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
criterion	decode_read_response_bytes/64	after	2	3.9199545986661173	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
criterion	decode_read_response_bytes/64	after	3	3.8962168764157425	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
criterion	decode_read_response_bytes/65536	before	1	3.9152226214911376	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
criterion	decode_read_response_bytes/65536	before	2	3.8879097903045894	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
criterion	decode_read_response_bytes/65536	before	3	3.883474680908771	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
criterion	decode_read_response_bytes/65536	after	1	3.8725446148623903	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
criterion	decode_read_response_bytes/65536	after	2	3.862356473038166	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
criterion	decode_read_response_bytes/65536	after	3	3.9135776337572086	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
criterion	encode_create_request	before	1	276.3432202025195	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
criterion	encode_create_request	before	2	283.9970635597234	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
criterion	encode_create_request	before	3	295.50950108644713	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
criterion	encode_create_request	after	1	269.98616273432447	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
criterion	encode_create_request	after	2	269.74292499678677	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
criterion	encode_create_request	after	3	270.83856710812984	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
criterion	encode_read_request	before	1	75.86971721113238	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
criterion	encode_read_request	before	2	69.70435828898277	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
criterion	encode_read_request	before	3	66.84897844391432	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
criterion	encode_read_request	after	1	67.44200027975143	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
criterion	encode_read_request	after	2	68.0385709346277	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
criterion	encode_read_request	after	3	70.63822884664619	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
criterion	encode_set_info_rename/long_255	before	1	977.9704045954046	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
criterion	encode_set_info_rename/long_255	before	2	989.5210001728409	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
criterion	encode_set_info_rename/long_255	before	3	978.1822919428758	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
criterion	encode_set_info_rename/long_255	after	1	972.9646840928152	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
criterion	encode_set_info_rename/long_255	after	2	979.5008522917008	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
