family	concurrency	phase	arm	rep	ops_per_sec	mib_per_sec	p50_ms	p90_ms	p99_ms	request_errors	case_errors	ops	queue_bytes	error_detail
sustained	32	head-miss	optimized-1g	1	6433.04	0.0	4.715	6.603	18.47	0	0	16384	1073741824	{}
sustained	32	mixed	optimized-1g	1	3918.24	1790.53	0.691	13.648	104.921	0	0	16384	1073741824	{}
sustained	8	put	optimized-2g	1	1337.05	763.28	0.315	1.079	168.18	0	0	4096	2147483648	{}
sustained	8	get	optimized-2g	1	446.37	254.82	0.516	40.561	280.698	0	0	4096	2147483648	{}
sustained	8	head-hit	optimized-2g	1	4444.02	0.0	0.074	3.448	24.433	0	0	4096	2147483648	{}
sustained	8	head-miss	optimized-2g	1	3377.31	0.0	0.716	6.229	21.076	0	0	4096	2147483648	{}
sustained	8	mixed	optimized-2g	1	862.76	403.17	0.804	15.322	137.228	0	0	4096	2147483648	{}
sustained	32	put	optimized-2g	1	1363.23	778.23	0.257	1.718	481.909	0	0	16384	2147483648	{}
sustained	32	get	optimized-2g	1	5678.98	3241.96	1.102	6.068	61.082	0	0	16384	2147483648	{}
sustained	32	head-hit	optimized-2g	1	16118.52	0.0	0.169	6.062	20.286	0	0	16384	2147483648	{}
sustained	32	head-miss	optimized-2g	1	6857.4	0.0	2.861	9.059	26.107	0	0	16384	2147483648	{}
sustained	32	mixed	optimized-2g	1	3237.48	1479.44	0.677	9.751	160.121	0	0	16384	2147483648	{}
sustained	8	put	published-1g	2	318.33	181.72	0.244	108.652	279.547	0	0	4096	1073741824	{}
sustained	8	get	published-1g	2	1800.88	1028.07	0.694	4.7	77.787	0	0	4096	1073741824	{}
sustained	8	head-hit	published-1g	2	8546.16	0.0	0.583	1.743	13.102	0	0	4096	1073741824	{}
sustained	8	head-miss	published-1g	2	8820.29	0.0	0.569	1.381	9.844	0	0	4096	1073741824	{}
sustained	8	mixed	published-1g	2	2432.94	1136.93	0.711	7.366	37.832	0	0	4096	1073741824	{}
sustained	32	put	published-1g	2	331.21	189.08	0.077	264.26	1304.069	0	0	16384	1073741824	{}
