family	concurrency	phase	arm	rep	ops_per_sec	mib_per_sec	p50_ms	p90_ms	p99_ms	request_errors	case_errors	ops	queue_bytes	error_detail
leaf-misses	128	head-hit	after	2	30447.37	0.0	0.058	15.252	30.113	0	0	3072	1073741824	{}
leaf-misses	128	head-miss	after	2	2257.44	0.0	51.235	79.397	131.653	0	0	3072	1073741824	{}
leaf-misses	128	get-miss	after	2	2335.48	0.33	50.606	67.789	175.107	0	0	3072	1073741824	{}
leaf-misses	128	mixed	after	2	1548.93	743.34	0.166	95.862	1146.323	0	0	3072	1073741824	{}
leaf-misses	256	put	after	2	9288.62	5567.7	21.848	30.991	125.138	0	0	6144	1073741824	{}
leaf-misses	256	get	after	2	4422.12	2650.67	10.053	38.301	848.702	0	0	6144	1073741824	{}
leaf-misses	256	head-hit	after	2	26543.82	0.0	0.09	38.511	54.777	0	0	6144	1073741824	{}
leaf-misses	256	head-miss	after	2	2647.0	0.0	97.456	111.235	127.583	0	0	6144	1073741824	{}
leaf-misses	256	get-miss	after	2	2241.04	0.32	106.651	161.099	202.114	0	0	6144	1073741824	{}
leaf-misses	256	mixed	after	2	3010.19	1440.99	0.987	234.366	1298.997	0	0	6144	1073741824	{}
leaf-misses	1	put	before	2	6420.08	3848.26	0.059	0.293	2.169	0	0	512	1073741824	{}
leaf-misses	1	get	before	2	1433.49	859.25	0.558	0.948	2.586	0	0	512	1073741824	{}
leaf-misses	1	head-hit	before	2	1346.42	0.0	0.632	0.975	2.706	0	0	512	1073741824	{}
leaf-misses	1	head-miss	before	2	1640.14	0.0	0.518	0.624	3.068	0	0	512	1073741824	{}
leaf-misses	1	get-miss	before	2	1631.12	0.23	0.583	0.67	1.542	0	0	512	1073741824	{}
leaf-misses	1	mixed	before	2	653.44	314.73	0.747	2.842	19.436	0	0	512	1073741824	{}
leaf-misses	8	put	before	2	10091.05	6048.69	0.484	1.725	4.491	0	0	512	1073741824	{}
leaf-misses	8	get	before	2	1582.62	948.64	0.147	2.98	84.102	0	0	512	1073741824	{}
leaf-misses	8	head-hit	before	2	15789.72	0.0	0.083	1.504	4.79	0	0	512	1073741824	{}
leaf-misses	8	head-miss	before	2	4459.46	0.0	0.688	5.112	11.912	0	0	512	1073741824	{}
leaf-misses	8	get-miss	before	2	5484.06	0.78	0.714	2.362	12.776	0	0	512	1073741824	{}
leaf-misses	8	mixed	before	2	509.86	245.58	1.965	35.657	224.984	0	0	512	1073741824	{}
leaf-misses	32	put	before	2	2445.83	1408.06	1.566	2.488	9.03	0	0	768	1073741824	{}
leaf-misses	32	get	before	2	854.18	491.75	1.282	8.107	167.113	0	0	768	1073741824	{}
leaf-misses	32	head-hit	before	2	7981.65	0.0	0.131	6.755	15.78	0	0	768	1073741824	{}
leaf-misses	32	head-miss	before	2	6507.32	0.0	3.116	8.571	29.608	0	0	768	1073741824	{}
leaf-misses	32	get-miss	before	2	5398.65	0.77	5.111	9.875	20.746	0	0	768	1073741824	{}
leaf-misses	32	mixed	before	2	530.95	246.18	6.691	109.704	662.514	0	0	768	1073741824	{}
leaf-misses	64	put	before	2	12950.24	7762.52	4.346	5.929	19.947	0	0	1536	1073741824	{}
leaf-misses	64	get	before	2	2577.41	1544.93	1.134	10.499	347.976	0	0	1536	1073741824	{}
leaf-misses	64	head-hit	before	2	10180.17	0.0	0.084	8.183	45.544	0	0	1536	1073741824	{}
leaf-misses	64	head-miss	before	2	5806.81	0.0	10.111	18.588	37.624	0	0	1536	1073741824	{}
leaf-misses	64	get-miss	before	2	6561.8	0.94	7.078	15.235	42.878	0	0	1536	1073741824	{}
leaf-misses	64	mixed	before	2	656.68	316.88	0.34	43.666	1172.522	0	0	1536	1073741824	{}
leaf-misses	128	put	before	2	11100.73	6653.9	9.472	18.18	46.864	0	0	3072	1073741824	{}
leaf-misses	128	get	before	2	4819.85	2889.07	1.082	30.461	297.521	0	0	3072	1073741824	{}
leaf-misses	128	head-hit	before	2	18294.13	0.0	0.042	21.84	39.013	0	0	3072	1073741824	{}
leaf-misses	128	head-miss	before	2	3302.52	0.0	25.137	80.723	282.682	0	0	3072	1073741824	{}
leaf-misses	128	get-miss	before	2	5669.84	0.81	15.625	45.415	98.101	0	0	3072	1073741824	{}
leaf-misses	128	mixed	before	2	1261.31	605.31	17.722	137.358	801.263	0	0	3072	1073741824	{}
leaf-misses	256	put	before	2	8770.43	5257.09	21.669	41.514	140.84	0	0	6144	1073741824	{}
leaf-misses	256	get	before	2	2209.81	1324.59	11.718	32.758	800.101	0	0	6144	1073741824	{}
leaf-misses	256	head-hit	before	2	25637.43	0.0	0.126	38.001	67.249	0	0	6144	1073741824	{}
leaf-misses	256	head-miss	before	2	3820.77	0.0	60.522	80.132	205.88	0	0	6144	1073741824	{}
leaf-misses	256	get-miss	before	2	4116.04	0.59	57.05	76.731	160.213	0	0	6144	1073741824	{}
leaf-misses	256	mixed	before	2	930.5	445.43	0.466	309.075	2107.227	0	0	6144	1073741824	{}
leaf-misses	1	put	before	3	6058.73	3631.67	0.061	0.32	2.128	0	0	512	1073741824	{}
leaf-misses	1	get	before	3	713.68	427.79	0.674	1.136	19.762	0	0	512	1073741824	{}
leaf-misses	1	head-hit	before	3	1335.3	0.0	0.695	0.791	1.767	0	0	512	1073741824	{}
leaf-misses	1	head-miss	before	3	1550.6	0.0	0.536	0.651	1.706	0	0	512	1073741824	{}
leaf-misses	1	get-miss	before	3	1775.24	0.25	0.545	0.634	0.873	0	0	512	1073741824	{}
leaf-misses	1	mixed	before	3	741.78	357.28	0.728	2.654	17.305	0	0	512	1073741824	{}
leaf-misses	8	put	before	3	9493.03	5690.22	0.57	1.672	5.887	0	0	512	1073741824	{}
leaf-misses	8	get	before	3	1244.4	745.91	0.236	2.985	71.123	0	0	512	1073741824	{}
leaf-misses	8	head-hit	before	3	19711.32	0.0	0.087	1.263	3.121	0	0	512	1073741824	{}
leaf-misses	8	head-miss	before	3	6190.94	0.0	0.685	3.102	6.957	0	0	512	1073741824	{}
leaf-misses	8	get-miss	before	3	6975.89	1.0	0.757	1.947	5.683	0	0	512	1073741824	{}
leaf-misses	8	mixed	before	3	479.04	230.73	2.64	30.313	230.649	0	0	512	1073741824	{}
leaf-misses	32	put	before	3	3769.4	2170.04	1.639	2.584	8.565	0	0	768	1073741824	{}
leaf-misses	32	get	before	3	3861.58	2223.11	1.129	5.871	90.553	0	0	768	1073741824	{}
leaf-misses	32	head-hit	before	3	12604.87	0.0	0.201	4.488	10.848	0	0	768	1073741824	{}
leaf-misses	32	head-miss	before	3	3974.17	0.0	6.892	13.046	20.015	0	0	768	1073741824	{}
leaf-misses	32	get-miss	before	3	4753.43	0.68	3.574	11.742	23.135	0	0	768	1073741824	{}
